pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
369.792917,218.490720,317.050000,102.100000,316.992533,111.437536,489.674292,94.491036,416.980586,148.335350,340.151423,209.804855,271.125633,115.648393
369.315764,218.244099,317.070000,103.140000,318.197809,113.306403,489.490000,94.160000,415.754983,149.475581,339.192184,211.788015,278.241157,117.654416
369.156712,218.120789,318.541249,113.086260,318.800447,113.773620,488.830000,94.000000,413.794019,150.425773,338.552691,213.771174,277.594291,118.155921
368.679558,218.244099,NaN,NaN,318.800447,112.839186,488.610000,94.020000,406.398228,152.966268,338.552691,215.010649,277.594291,119.660439
368.043353,218.120789,NaN,NaN,321.813638,111.437536,488.600000,94.040000,406.010877,155.669037,338.552691,216.498018,278.241157,120.663450
367.248097,217.257618,NaN,NaN,323.018914,111.437536,488.860000,94.000000,404.655149,158.221653,339.192184,218.233283,278.888022,121.666462
367.566199,216.764377,316.471059,121.913700,325.429467,113.773620,488.870000,94.010000,402.524718,161.224730,339.192184,219.968548,278.888022,121.666462
367.407148,215.531275,315.953512,125.926172,324.224190,113.773620,488.900000,94.000000,401.556341,164.227807,339.511930,221.455917,276.947425,123.170979
366.929994,215.038035,314.918416,127.129914,328.442657,117.978570,488.900000,93.990000,402.912069,169.483192,341.110663,224.430657,276.947425,123.170979
367.089046,213.681623,312.071905,130.941763,330.250572,119.847437,488.870000,94.010000,403.686771,175.639500,341.110663,225.918026,276.947425,123.170979
366.452841,217.257618,311.813131,133.148623,333.263762,124.519605,488.900000,94.000000,402.940402,176.688473,341.110663,226.661711,276.947425,123.170979
364.544225,216.517757,310.001714,134.954236,333.866400,125.454038,488.930000,94.030000,404.661962,180.425636,341.110663,226.661711,278.888022,124.675497
363.589918,217.134308,307.413976,136.157977,333.263762,128.257338,488.940000,94.020000,403.284714,183.628918,341.110663,226.661711,278.888022,125.678508
362.794661,217.257618,310.519262,135.957354,333.263762,130.126205,488.950000,94.000000,401.907466,186.832200,341.110663,227.901186,278.888022,127.183025
361.840353,216.641067,312.589452,135.556106,335.071677,132.462289,488.930000,94.010000,401.907466,190.302422,341.110663,228.396976,278.888022,127.183025
361.681302,214.914724,313.107000,136.157977,335.674315,135.732806,480.301941,94.787618,401.218842,194.573465,341.110663,228.644871,278.888022,127.684531
360.886046,213.804933,313.107000,136.960472,336.276953,137.134456,479.510000,95.120000,400.185906,195.908166,341.110663,229.140660,278.888022,128.687543
361.204148,213.435002,311.813131,139.769203,337.482229,140.404973,477.050309,97.456852,403.629026,200.713090,341.110663,229.636450,280.181754,130.192060
361.681302,212.818451,310.519262,141.976063,339.892781,142.273840,475.520129,98.939761,401.907466,199.645329,341.110663,230.628030,282.769217,132.198083
362.953712,212.571831,307.931524,147.994771,339.892781,144.142707,473.989949,99.829505,399.497282,199.645329,341.110663,231.619610,283.416083,134.204106
364.226123,212.448521,307.672750,154.414727,339.892781,145.544357,472.268497,101.164123,399.497282,200.446149,340.790917,234.594349,283.416083,135.708623
365.498533,212.448521,306.896429,157.624705,342.303334,145.077140,471.885952,101.757286,399.152970,202.314731,340.790917,234.842244,283.416083,137.714647
366.611892,211.955280,303.014822,159.630942,347.727077,145.077140,470.929590,102.498740,398.464346,204.183312,340.790917,237.073299,284.062948,140.222175
367.884302,211.831970,301.979726,161.637178,348.329715,145.544357,470.929590,102.647031,399.841594,207.386594,340.790917,237.321193,284.062948,140.723681
368.679558,211.462039,299.909536,163.041543,345.316525,148.347657,470.164500,103.536776,396.398474,210.589876,339.831677,238.808563,284.062948,142.729704
370.111020,211.338729,298.615667,166.050898,344.713886,150.683741,469.399410,104.278230,398.120034,210.856816,342.389649,241.287513,283.416083,143.732716
371.701533,211.215419,297.321798,166.652769,344.280000,153.170000,468.825593,104.871393,398.120034,212.191517,342.709396,241.535407,285.679119,147.102911
374.564456,211.215419,293.698965,169.260876,343.980000,155.510000,468.251775,105.464556,397.775722,213.526218,343.783022,242.707830,285.679119,147.102911
376.950225,210.845488,293.181417,171.267112,347.446051,158.506163,467.677958,105.909429,397.775722,214.327039,342.435612,244.013614,285.679119,147.279023
378.222635,210.845488,284.383108,176.082079,349.470000,160.380000,466.721595,106.947465,397.775722,215.394800,342.435612,244.274771,285.679119,148.159582
378.858840,211.092109,289.850301,177.357928,351.400000,161.370000,466.339050,107.837209,397.775722,216.729500,342.435612,245.580555,285.906276,148.864029
379.495045,211.092109,287.835464,178.920003,352.760000,162.580000,465.000143,108.726954,397.706219,232.769667,342.772464,246.886339,285.906276,149.744587
380.608404,211.092109,286.156432,183.085536,353.980000,164.600000,463.920956,109.540040,399.338513,231.345986,342.772464,247.147496,285.906276,150.801258
381.403661,211.215419,286.156432,183.085536,354.950000,166.740000,463.258312,110.464768,400.970807,236.091589,343.109317,247.930967,285.906276,151.505705
382.517020,210.475558,283.805789,187.251068,355.900000,168.770000,462.728198,111.081254,401.378881,237.357083,343.109317,248.453280,285.906276,153.090711
384.107532,209.365766,283.805789,188.552797,356.950000,170.700000,461.933026,112.108729,400.970807,239.888072,342.772464,248.714437,285.906276,154.323493
385.698045,208.379285,281.455145,192.197638,357.900000,172.860000,460.872797,113.341700,400.970807,240.204445,342.772464,249.497907,285.679119,156.084611
387.447609,208.502595,281.455145,192.457984,358.850000,174.960000,460.342682,113.958185,401.174844,242.260873,342.435612,249.759064,285.451962,156.084611
